"id","name","abbreviations","alternatives"
"db5cca42-0075-4615-88de-5b2ad15df7bf","Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus Veracruz","{""ITESM, Campus Veracruz""}","{""Instituto Tecnologico y de Estudios Superiores de Monterrey, Campus Veracruz""}"
"dd7f101d-8e07-41b7-b985-9751c31a814c","Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus Zacatecas","{""ITESM, Campus Zacatecas""}","{""Instituto Tecnologico y de Estudios Superiores de Monterrey, Campus Zacatecas""}"
"0a33c5c2-1943-4ec0-b48d-5556a91413d4","Instituto Tecnológico y de Estudios Superiores de Occidente","{""ITESO""}","{""Instituto Tecnologico y de Estudios Superiores de Occidente""}"
"e0195613-1ab8-4ef7-9d4d-575d2cfd311b","Institut polytechnique de Bordeaux","{""INP""}","{}"
"4244350f-f332-49c1-b874-b25b409ce24f","Instytut Pamięci Narodowej","{}","{""Instytut Pamieci Narodowej""}"
"e3f16f44-1479-4493-933e-476934ddf775","Intecap","{}","{}"
"b8a56349-f637-4e5c-87c8-044aaf7fadcb","International Institute of Information Technology, Bangalore","{""IIIT, Bangalore""}","{}"
"cc76999a-1986-4879-becb-c2680bad58b0","International Institute of Information Technology, Bhubaneswar","{""IIIT Bhubaneswar""}","{}"
"0687d11a-4d25-47d6-910b-aedfab8c40f2","International Institute of Information Technology, Hyderabad","{""IIIT, Hyderabad""}","{}"
"6056f3fa-a728-4100-b20b-411bc7ec51d6","International Institute Of Information Technology, Naya Raipur","{""IIIT, Naya Raipur""}","{}"
"75a7de7b-d98f-446d-ab0d-9550bc5700db","International Leadership Charter High School","{}","{}"
"57924d35-c6f7-40e4-884c-410ae3bc4946","International School of Choueifat","{}","{}"
"494ad360-c919-49d2-b882-09b7e7221869","Iowa Central Community College","{}","{}"
"1da5a667-60da-4bdd-82e5-a20baefbcdd7","Iowa State University","{""ISU""}","{}"
"0aa02939-c43f-4caf-9dcf-33f7c6b6d9d5","Iowa Western Community College","{}","{}"
"2d243c27-c805-424c-bfd4-e8b3c8722a0f","Islamic University of Science and Technology, Pulwama","{}","{}"
"be2db93b-82d0-487c-9a8c-3be8df433a89","Istanbul University","{}","{}"
"1a27f560-c704-42f3-b9e1-d71e12c93afe","Ithaca College","{""IC""}","{}"
"18c84d7e-71d7-48e9-b953-c6e8b2cc4eb8","ITMO University","{}","{}"
"7f7f4216-263f-4448-89b2-7873e7b8e546","ITM University, Gwalior","{}","{}"
"7c00acd7-3de5-4512-91e7-97596c535e98","ITM University, Vadodara","{}","{}"
"16f9a4b7-07ca-400e-ae0f-d7a5a6251a15","I.T.S Engineering College","{}","{}"
"1261a765-686d-4f31-b145-e1bf74609092","IT University of Copenhagen","{}","{}"
"19e099f0-89d1-493a-ba8f-cdadd3b4132d","Jabalpur Engineering College","{}","{}"
"4bea4094-5378-4eb2-bbd6-b37ec9e820e3","Jackson Memorial High School","{}","{}"
"be80c579-4dd6-4014-9f09-862393cb13be","Jacobs University Bremen","{}","{}"
